Id_num,Nom,Cognoms,País d'origen,Ciutat,Day,Month,Year,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Full Name,Spanish,Children,Date_of_birth,Age,Grup,Increment,New_salary
21,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Others,951.0,,1.0,Grup A,Mia Schneider Fischer,Non,No,1976-10-22,49,Grup A,5.0,998.55
871,Lea,Fischer,Alemanya,Berlín,9,9,1986,Woman,1.37,1.0,,Grup A,Lea Fischer,Non,Yes,1986-09-09,39,Grup A,5.0,1.44
281,Lea,Müller,Alemanya,Hamburg,14,4,2003,Woman,1.314,,1.0,Grup A,Lea Müller,Non,No,2003-04-14,23,Grup A,5.0,1.38
546,Laura,Schneider,Alemanya,Hamburg,25,1,1957,Woman,1.368,,1.0,Grup A,Laura Schneider,Non,No,1957-01-25,69,Grup A,5.0,1.44
126,Anna,Müller,Alemanya,Munic,18,3,1956,Woman,1.28,,1.0,Grup A,Anna Müller,Non,No,1956-03-18,70,Grup A,5.0,1.34
329,Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Woman,766.0,,1.0,Grup A,Mia Schneider Müller,Non,No,1957-03-28,69,Grup A,5.0,804.3
827,Lukas,Müller Schmidt,Alemanya,Munic,23,2,2005,Man,1.573,,1.0,Grup A,Lukas Müller Schmidt,Non,No,2005-02-23,21,Grup A,5.0,1.65
33,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Man,1.313,,1.0,Grup A,Matías Gómez Álvarez,Non,No,1955-12-04,70,Grup A,5.0,1.38
343,Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Woman,764.0,,1.0,Grup A,Lucía Fernández,Non,No,1953-08-08,72,Grup A,5.0,802.2
379,Lucía,Fernández,Argentina,Buenos Aires,28,11,1978,NaN,758.0,,1.0,Grup A,Lucía Fernández,Non,No,1978-11-28,47,Grup A,5.0,795.9
425,Matías,Rodríguez,Argentina,Buenos Aires,12,6,1950,NaN,1.055,,1.0,Grup A,Matías Rodríguez,Non,No,1950-06-12,75,Grup A,5.0,1.11
575,Florencia,Álvarez,Argentina,Buenos Aires,14,11,1961,Woman,1.043,,1.0,Grup A,Florencia Álvarez,Non,No,1961-11-14,64,Grup A,5.0,1.1
672,Lucas,Álvarez,Argentina,Buenos Aires,2,8,1978,Man,899.0,1.0,,Grup A,Lucas Álvarez,Non,Yes,1978-08-02,47,Grup A,5.0,943.95
688,Juan,Álvarez,Argentina,Buenos Aires,21,2,1968,Man,887.0,1.0,,Grup A,Juan Álvarez,Non,Yes,1968-02-21,58,Grup A,5.0,931.35
781,Lucía,Álvarez,Argentina,Buenos Aires,10,8,1972,Others,1.141,,1.0,Grup A,Lucía Álvarez,Non,No,1972-08-10,53,Grup A,5.0,1.2
813,Matías,Fernández,Argentina,Buenos Aires,28,4,1953,Man,1.253,,1.0,Grup A,Matías Fernández,Non,No,1953-04-28,72,Grup A,5.0,1.32
898,Julieta,Fernández,Argentina,Buenos Aires,28,1,1961,Woman,1.493,1.0,,Grup A,Julieta Fernández,Non,Yes,1961-01-28,65,Grup A,5.0,1.57
912,Martina,Gómez,Argentina,Buenos Aires,5,12,1963,Woman,993.0,,1.0,Grup A,Martina Gómez,Non,No,1963-12-05,62,Grup A,5.0,1042.65
446,Tomás,Gómez,Argentina,Còrdova,19,1,1996,Man,1.104,1.0,,Grup A,Tomás Gómez,Non,Yes,1996-01-19,30,Grup A,5.0,1.16
497,Florencia,Gómez,Argentina,Còrdova,8,7,1984,NaN,1.594,,1.0,Grup A,Florencia Gómez,Non,No,1984-07-08,41,Grup A,5.0,1.67
801,Lucía,Fernández Álvarez,Argentina,Còrdova,11,3,1973,Woman,684.0,1.0,,Grup A,Lucía Fernández Álvarez,Non,Yes,1973-03-11,53,Grup A,5.0,718.2
