Id_num,Nom,Cognoms,País d'origen,Ciutat,Day,Month,Year,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Full Name,Spanish,Children,Date_of_birth,Age,Grup,Increment,New_salary
154,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Woman,1.769,1.0,,Grup B,Laura Schneider Fischer,Non,Yes,1958-02-02,68,Grup B,3.5,1.83
224,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Woman,2.013,,1.0,Grup B,Lea Schneider Schneider,Non,No,2005-10-23,20,Grup B,3.5,2.08
278,Mia,Fischer,Alemanya,Berlín,11,8,1950,Woman,1.557,1.0,,Grup B,Mia Fischer,Non,Yes,1950-08-11,75,Grup B,3.5,1.61
487,Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Man,2.042,,1.0,Grup B,Lukas Müller Fischer,Non,No,1971-03-28,55,Grup B,3.5,2.11
598,Laura,Schmidt,Alemanya,Hamburg,3,5,1956,NaN,1.828,1.0,,Grup B,Laura Schmidt,Non,Yes,1956-05-03,69,Grup B,3.5,1.89
645,Jonas,Schneider Schmidt,Alemanya,Hamburg,15,8,1983,Man,1.476,1.0,,Grup B,Jonas Schneider Schmidt,Non,Yes,1983-08-15,42,Grup B,3.5,1.53
383,Mia,Fischer,Alemanya,Munic,8,9,1953,Woman,1.666,,1.0,Grup B,Mia Fischer,Non,No,1953-09-08,72,Grup B,3.5,1.72
436,Leon,Schneider,Alemanya,Munic,5,5,1981,Man,1.672,,1.0,Grup B,Leon Schneider,Non,No,1981-05-05,44,Grup B,3.5,1.73
513,Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Woman,1.292,1.0,,Grup B,Martina Rodríguez Gómez,Non,Yes,1978-03-10,48,Grup B,3.5,1.34
531,Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Woman,1.181,,1.0,Grup B,Julieta Rodríguez,Non,No,1979-07-24,46,Grup B,3.5,1.22
621,Juan,Álvarez Fernández,Argentina,Buenos Aires,11,8,1991,Man,1.412,1.0,,Grup B,Juan Álvarez Fernández,Non,Yes,1991-08-11,34,Grup B,3.5,1.46
640,Lucas,Álvarez,Argentina,Buenos Aires,22,3,1984,Man,1.67,,1.0,Grup B,Lucas Álvarez,Non,No,1984-03-22,42,Grup B,3.5,1.73
705,Tomás,Gómez,Argentina,Buenos Aires,3,10,1972,Man,1.456,,1.0,Grup B,Tomás Gómez,Non,No,1972-10-03,53,Grup B,3.5,1.51
734,Matías,Rodríguez Gómez,Argentina,Buenos Aires,28,9,1957,Man,1.463,1.0,,Grup B,Matías Rodríguez Gómez,Non,Yes,1957-09-28,68,Grup B,3.5,1.51
183,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Man,2.08,1.0,,Grup B,Matías Gómez Gómez,Non,Yes,2002-08-18,23,Grup B,3.5,2.15
328,Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Man,1.912,1.0,,Grup B,Lucas Álvarez Álvarez,Non,Yes,1981-05-17,44,Grup B,3.5,1.98
530,Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Man,1.992,1.0,,Grup B,Lucas Fernández Álvarez,Non,Yes,1993-04-27,32,Grup B,3.5,2.06
740,Matías,Álvarez,Argentina,Còrdova,24,8,1954,Man,1.686,1.0,,Grup B,Matías Álvarez,Non,Yes,1954-08-24,71,Grup B,3.5,1.75
742,Florencia,Gómez Fernández,Argentina,Còrdova,12,7,1992,Woman,1.245,,1.0,Grup B,Florencia Gómez Fernández,Non,No,1992-07-12,33,Grup B,3.5,1.29
