Id_num,Nom,Cognoms,País d'origen,Ciutat,Day,Month,Year,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Full Name,Spanish,Children,Date_of_birth,Age,Grup,Increment,New_salary
435,Anna,Müller,Alemanya,Hamburg,1,1,1987,Woman,2.464,,1.0,Grup C,Anna Müller,Non,No,1987-01-01,39,Grup C,2.0,2.51
444,Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,NaN,2.035,1.0,,Grup C,Laura Schmidt Müller,Non,Yes,1987-06-15,38,Grup C,2.0,2.08
948,Anna,Fischer,Alemanya,Hamburg,14,5,1985,Woman,2.443,1.0,,Grup C,Anna Fischer,Non,Yes,1985-05-14,40,Grup C,2.0,2.49
990,Felix,Schmidt Schmidt,Alemanya,Hamburg,20,10,1951,Man,1.971,,1.0,Grup C,Felix Schmidt Schmidt,Non,No,1951-10-20,74,Grup C,2.0,2.01
29,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Man,2.584,1.0,,Grup C,Tomás Rodríguez Fernández,Non,Yes,1986-04-20,40,Grup C,2.0,2.64
48,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Man,2.481,,1.0,Grup C,Tomás Fernández Álvarez,Non,No,1958-09-08,67,Grup C,2.0,2.53
579,Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Man,1.685,1.0,,Grup C,Juan Gómez Gómez,Non,Yes,1994-10-09,31,Grup C,2.0,1.72
137,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Woman,2.597,1.0,,Grup C,Valentina Castro,Non,Yes,1951-09-02,74,Grup C,2.0,2.65
386,Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Woman,2.656,1.0,,Grup C,Sara Gutiérrez,Non,Yes,1954-06-12,71,Grup C,2.0,2.71
442,Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Man,2.642,,1.0,Grup C,Daniel Gutiérrez Castro,Non,No,1951-07-08,74,Grup C,2.0,2.69
829,Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Woman,2.03,1.0,,Grup C,Daniela Castro,Non,Yes,1954-02-05,72,Grup C,2.0,2.07
834,Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Man,2.685,,1.0,Grup C,Andrés Gutiérrez Rojas,Non,No,1986-03-18,40,Grup C,2.0,2.74
337,Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Man,2.397,,1.0,Grup C,Andrés Rojas Castro,Non,No,1974-09-20,51,Grup C,2.0,2.44
109,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Man,2.639,,1.0,Grup C,Toni Ferrer,Non,No,1985-04-12,41,Grup C,2.0,2.69
186,Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Woman,2.452,1.0,,Grup C,Marta Martínez Castells,Non,Yes,1977-07-16,48,Grup C,2.0,2.5
334,Jordi,García Romero,Espanya,Barcelona,28,5,1952,Man,2.547,1.0,,Grup C,Jordi García Romero,Non,Yes,1952-05-28,73,Grup C,2.0,2.6
348,Pau,Castells,Espanya,Barcelona,22,1,1986,Man,2.208,,1.0,Grup C,Pau Castells,Non,No,1986-01-22,40,Grup C,2.0,2.25
364,Joan,Martínez,Espanya,Barcelona,14,9,1999,Man,2.725,,1.0,Grup C,Joan Martínez,Non,No,1999-09-14,26,Grup C,2.0,2.78
439,Núria,Martínez,Espanya,Barcelona,19,6,1981,Woman,1.939,,1.0,Grup C,Núria Martínez,Non,No,1981-06-19,44,Grup C,2.0,1.98
441,Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Man,2.789,,1.0,Grup C,Joan López Ferrer,Non,No,1951-06-21,74,Grup C,2.0,2.84
452,Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Man,1.69,1.0,,Grup C,Arnau López Sánchez,Non,Yes,1951-05-22,74,Grup C,2.0,1.72
