Id_num,Nom,Cognoms,País d'origen,Ciutat,Day,Month,Year,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Full Name,Spanish,Children,Date_of_birth,Age,Grup,Increment,New_salary
602,Jonas,Schneider,Alemanya,Berlín,22,11,1985,Man,2.754,1.0,,Grup D,Jonas Schneider,Non,Yes,1985-11-22,40,Grup D,8.0,2.97
777,Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Man,2.984,,1.0,Grup D,Leon Schneider Schneider,Non,No,1977-10-16,48,Grup D,8.0,3.22
71,Lea,Schneider,Alemanya,Munic,22,9,1950,Woman,2.668,1.0,,Grup D,Lea Schneider,Non,Yes,1950-09-22,75,Grup D,8.0,2.88
438,Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Woman,2.778,,1.0,Grup D,Laura Schneider Müller,Non,No,1990-11-28,35,Grup D,8.0,3.0
432,Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Woman,3.014,,1.0,Grup D,Florencia Rodríguez Álvarez,Non,No,1999-11-27,26,Grup D,8.0,3.26
180,Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Man,2.756,,1.0,Grup D,Jordi Sánchez,Non,No,1981-06-06,44,Grup D,8.0,2.98
254,Joan,Romero,Espanya,Barcelona,26,4,1969,Others,3.175,,1.0,Grup D,Joan Romero,Non,No,1969-04-26,56,Grup D,8.0,3.43
406,Laia,Ferrer,Espanya,Barcelona,21,12,1987,Woman,2.825,1.0,,Grup D,Laia Ferrer,Non,Yes,1987-12-21,38,Grup D,8.0,3.05
431,Marta,Castells,Espanya,Barcelona,2,10,2003,Woman,2.683,,1.0,Grup D,Marta Castells,Non,No,2003-10-02,22,Grup D,8.0,2.9
708,Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Woman,2.899,,1.0,Grup D,Eva Ferrer Romero,Non,No,2005-11-01,20,Grup D,8.0,3.13
80,Laia,Castells,Espanya,Bilbao,19,4,1950,Woman,2.448,,1.0,Grup D,Laia Castells,Non,No,1950-04-19,76,Grup D,8.0,2.64
341,Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Woman,2.433,1.0,,Grup D,Eva Castells Romero,Non,Yes,1988-07-25,37,Grup D,8.0,2.63
